,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
192,192,2024-12-30,2014-10-05,within an hour,100%,100%,t,1,1,t,t,59.26784,17.98297,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,2.0,$665.00,5,70,5,6,70,70,t,13,13,32,212,2024-12-30,63,2,0,2015-11-09,2024-11-24,4.52,4.63,4.44,4.78,4.78,4.7,4.56,,f,1,1,0,0
223,223,2024-12-30,2015-02-08,,,,f,1,2,t,t,59.31791,18.05317,Entire loft,Entire home/apt,4,,2 baths,2.0,,,6,19,6,6,19,19,t,0,0,0,0,2024-12-30,8,0,0,2017-08-17,2019-08-19,5.0,5.0,4.5,5.0,4.88,4.88,4.75,,f,1,1,0,0
268,268,2024-12-30,2014-08-30,,,100%,f,1,2,t,t,59.32131,17.98745,Entire loft,Entire home/apt,5,1.5,1.5 baths,2.0,7.0,"$1,606.00",3,100,3,3,100,100,t,0,0,0,0,2024-12-30,84,0,0,2015-08-17,2023-07-31,4.83,4.87,4.79,4.96,4.98,4.83,4.77,,f,1,1,0,0
312,312,2024-12-30,2013-01-31,within a few hours,100%,98%,f,2,2,t,t,59.27813,17.87429,Entire guesthouse,Entire home/apt,3,1.0,1 bath,1.0,2.0,$790.00,4,1125,4,4,1125,1125,t,29,59,89,282,2024-12-30,247,5,0,2015-07-01,2024-09-01,4.58,4.75,4.77,4.79,4.78,4.52,4.7,,f,2,2,0,0
332,332,2024-12-30,2015-06-29,,,78%,f,1,1,t,t,59.30012,18.00566,Entire loft,Entire home/apt,5,,2 baths,3.0,,,5,20,5,5,20,20,t,0,0,0,0,2024-12-30,20,5,0,2017-07-24,2024-08-10,4.8,4.75,4.65,4.9,4.9,4.6,4.85,,f,1,1,0,0
339,339,2024-12-30,2014-07-18,,,100%,f,1,1,t,t,59.33513,18.02798,Entire loft,Entire home/apt,4,1.5,1.5 baths,2.0,2.0,"$2,750.00",20,150,20,20,150,150,t,0,0,0,106,2024-12-30,4,1,0,2018-12-22,2024-07-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
359,359,2024-12-30,2015-07-04,,,100%,f,2,2,t,t,59.31193,18.07814,Entire loft,Entire home/apt,8,,1.5 baths,3.0,,,4,30,4,4,30,30,t,0,0,0,0,2024-12-30,41,3,0,2015-08-09,2024-08-15,4.98,4.88,4.73,5.0,5.0,5.0,4.78,,f,1,1,0,0
382,382,2024-12-30,2014-10-23,within a day,88%,38%,t,1,2,t,t,59.34445,18.0439,Entire loft,Entire home/apt,3,1.0,1 bath,2.0,2.0,"$1,930.00",4,1125,3,4,1125,1125,t,2,14,19,131,2024-12-30,61,13,0,2016-02-24,2024-11-29,4.93,4.98,4.93,4.82,4.97,4.98,4.89,,f,1,1,0,0
416,416,2024-12-30,2012-12-28,,,,f,1,2,t,t,59.31844,18.07176,Entire loft,Entire home/apt,5,,1 bath,4.0,,,2,30,2,2,30,30,t,0,0,0,0,2024-12-30,43,0,0,2016-01-02,2020-07-26,4.93,4.91,4.91,5.0,5.0,4.98,4.86,,f,1,1,0,0
482,482,2024-12-30,2014-03-03,,,100%,f,1,1,t,t,59.30156,18.00523,Entire loft,Entire home/apt,6,,2 baths,4.0,,,3,20,3,3,1125,1125,t,0,0,0,0,2024-12-30,21,1,0,2016-06-29,2024-06-30,4.95,4.9,4.86,4.9,5.0,4.95,4.95,,f,1,1,0,0
