,Unnamed: 0,host_since,host_response_rate,host_is_superhost,host_total_listings_count,host_identity_verified,longitude,room_type,bathrooms,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,availability_30,availability_90,calendar_last_scraped,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
3074,3074,2020-08-20,80%,f,9,t,17.8992086,Private room,,,,1125,2,1125,21,81,2024-12-30,5,2023-07-11,4.5,4.4,4.5,4.5,f,0,0
3075,3075,2013-03-18,,f,1,t,18.146742815344247,Entire home/apt,,2.0,,365,5,365,0,0,2024-12-30,0,,,,,,f,1,0
3076,3076,2021-10-22,0%,f,1,t,18.09695,Entire home/apt,1.0,1.0,$918.00,365,15,365,29,89,2024-12-30,0,,,,,,f,1,0
3077,3077,2020-07-25,,f,3,t,17.93842947974261,Entire home/apt,1.0,2.0,"$1,277.00",365,30,365,29,89,2024-12-30,0,,,,,,f,1,0
3078,3078,2023-06-16,,f,1,t,18.07507,Entire home/apt,,1.0,,28,7,1125,0,0,2024-12-30,0,2023-07-19,4.0,4.0,5.0,5.0,f,1,0
3079,3079,2013-09-18,,f,2,t,17.82945,Entire home/apt,2.0,2.0,"$1,345.00",28,4,28,28,88,2024-12-30,0,,,,,,f,1,0
3080,3080,2016-03-16,,f,2,t,17.967135210518574,Entire home/apt,1.0,1.0,$622.00,9,2,9,0,29,2024-12-30,3,2023-07-16,5.0,5.0,5.0,4.89,f,1,0
3081,3081,2021-05-11,,f,2,t,18.0762553,Entire home/apt,,2.0,,200,99,200,0,0,2024-12-30,0,2023-08-26,5.0,5.0,5.0,5.0,f,1,0
3082,3082,2015-03-11,,f,1,f,18.0768338,Entire home/apt,,1.0,,56,3,1125,0,0,2024-12-30,0,2023-07-15,4.83,5.0,5.0,4.83,t,1,0
3083,3083,2015-11-18,,f,1,t,18.06821711558825,Entire home/apt,,1.0,,28,3,28,0,0,2024-12-30,4,2023-07-03,5.0,5.0,5.0,4.88,f,1,0
3084,3084,2019-05-10,,f,1,f,18.08705,Entire home/apt,,1.0,,14,2,14,0,0,2024-12-30,6,2023-07-16,5.0,5.0,4.92,5.0,f,1,0
3085,3085,2016-04-30,33%,f,2,t,18.03097213643157,Entire home/apt,3.0,2.0,"$2,150.00",14,2,14,29,89,2024-12-30,1,2023-08-06,4.33,4.33,4.67,4.33,f,1,0
3086,3086,2017-07-16,,f,1,t,17.98401,Entire home/apt,,4.0,,40,5,1125,0,0,2024-12-30,0,2023-07-06,5.0,5.0,5.0,5.0,f,1,0
3087,3087,2016-06-22,100%,f,4,t,18.024145324510947,Private room,1.0,2.0,$450.00,365,1,365,30,86,2024-12-30,12,2023-08-06,4.69,4.63,4.75,4.56,f,0,0
3088,3088,2023-05-26,,t,1,t,17.963027358055115,Entire home/apt,1.5,1.0,$990.00,365,3,365,0,0,2024-12-30,19,2023-07-12,4.92,4.92,4.89,4.71,f,1,0
3089,3089,2015-03-18,60%,f,7,t,18.0640219661716,Entire home/apt,1.5,3.0,"$2,500.00",365,5,365,26,81,2024-12-30,5,2023-07-31,5.0,5.0,5.0,4.91,f,1,0
3090,3090,2020-09-14,,f,1,t,18.000465357215553,Entire home/apt,1.5,1.0,"$1,200.00",20,3,20,2,2,2024-12-30,1,2023-07-10,4.4,4.6,4.8,4.4,f,1,0
3091,3091,2016-08-16,100%,f,1,t,18.02461,Entire home/apt,2.0,4.0,"$2,500.00",365,6,365,6,17,2024-12-30,5,2023-07-16,5.0,5.0,5.0,5.0,f,1,0
3092,3092,2014-11-29,92%,t,4,t,18.08371,Entire home/apt,1.0,1.0,"$1,321.00",1125,1,1125,1,1,2024-12-30,77,2023-06-28,4.79,4.85,4.92,4.73,t,4,0
3093,3093,2016-06-26,0%,f,1,t,18.05139,Entire home/apt,1.5,1.0,"$1,943.00",365,5,365,2,2,2024-12-30,2,2024-05-24,5.0,4.0,5.0,5.0,f,1,0
3094,3094,2014-05-27,0%,f,1,t,18.111171095436923,Entire home/apt,,4.0,,50,5,50,0,0,2024-12-30,1,2023-07-27,5.0,4.5,5.0,4.5,f,1,0
3095,3095,2023-06-19,,f,1,t,18.07332651952343,Entire home/apt,1.0,1.0,"$2,386.00",365,1,365,29,89,2024-12-30,0,2023-08-17,5.0,5.0,5.0,5.0,f,1,0
3096,3096,2016-02-28,,t,1,t,18.0877135,Entire home/apt,,,,12,2,12,0,0,2024-12-30,12,2023-07-24,4.83,4.87,5.0,4.78,f,1,0
3097,3097,2023-06-19,100%,t,2,t,18.10260547067356,Entire home/apt,2.0,4.0,"$2,500.00",30,2,30,1,5,2024-12-30,13,2023-07-02,4.86,4.59,4.95,4.77,t,1,0
3098,3098,2013-09-12,,f,1,t,18.032578077246097,Entire home/apt,1.0,1.0,"$1,150.00",365,10,365,28,88,2024-12-30,0,2023-09-02,5.0,5.0,5.0,5.0,f,1,0
3099,3099,2023-06-19,,f,1,f,17.8946131,Entire home/apt,1.5,3.0,"$2,120.00",21,7,21,0,0,2024-12-30,3,2023-08-01,5.0,5.0,4.83,4.83,f,1,0
3100,3100,2015-10-22,,f,2,t,18.09504229927318,Entire home/apt,,1.0,,365,7,365,0,0,2024-12-30,0,2023-08-31,5.0,5.0,5.0,5.0,f,1,0
3101,3101,2017-02-02,,f,1,t,17.9987232382651,Entire home/apt,1.0,1.0,"$1,750.00",30,2,30,30,90,2024-12-30,5,2023-07-23,4.57,4.43,4.57,4.43,f,1,0
3102,3102,2014-05-02,,f,3,t,18.03391344845295,Entire home/apt,,1.0,,8,6,8,0,0,2024-12-30,1,2023-07-19,5.0,5.0,5.0,4.5,f,1,0
3103,3103,2016-08-22,,f,1,t,18.059487034686665,Entire home/apt,,1.0,,365,2,365,0,0,2024-12-30,3,2023-11-18,5.0,5.0,5.0,5.0,f,1,0
3104,3104,2023-06-20,,f,1,t,18.02672,Entire home/apt,1.0,1.0,"$1,500.00",600,28,600,30,90,2024-12-30,1,2023-07-16,4.75,4.75,5.0,4.75,f,1,0
3105,3105,2021-07-03,,f,2,t,18.0541689,Private room,1.5,1.0,$374.00,365,1,365,30,90,2024-12-30,0,,,,,,f,0,0
3106,3106,2023-06-06,,f,2,t,18.06699615012573,Entire home/apt,,3.0,,365,5,365,0,0,2024-12-30,4,2023-07-04,5.0,4.71,4.86,4.86,f,1,0
3107,3107,2012-09-11,0%,f,3,t,18.04205362461253,Entire home/apt,,3.0,,365,5,365,0,0,2024-12-30,4,2023-07-15,5.0,4.83,5.0,4.83,f,1,0
3108,3108,2018-05-23,,f,2,t,17.94297970810324,Private room,,,,32,3,32,0,0,2024-12-30,1,2023-08-20,5.0,5.0,5.0,5.0,f,0,0
3109,3109,2019-04-29,100%,f,5,t,18.0802422,Shared room,1.0,1.0,$850.00,365,1,365,20,30,2024-12-30,3,2023-06-27,4.6,4.5,4.9,5.0,f,0,1
3110,3110,2015-09-25,100%,f,1,t,18.0472285,Entire home/apt,1.0,1.0,"$1,307.00",40,6,40,27,87,2024-12-30,5,2023-07-25,4.89,4.67,5.0,4.78,f,1,0
3111,3111,2018-04-05,33%,f,1,f,18.10423,Entire home/apt,,2.0,,365,3,365,0,0,2024-12-30,4,2023-07-27,4.67,4.5,4.83,4.83,f,1,0
3112,3112,2015-11-29,,f,2,t,17.80404545366764,Entire home/apt,2.0,4.0,"$3,800.00",21,7,1125,0,57,2024-12-30,0,2023-07-20,4.0,3.0,4.0,5.0,f,1,0
3113,3113,2014-03-02,,f,4,t,18.113182790360938,Entire home/apt,,2.0,,365,2,365,0,0,2024-12-30,0,,,,,,f,1,0
3114,3114,2014-03-02,,f,4,t,18.1125214,Private room,,2.0,,365,2,365,0,0,2024-12-30,1,2023-08-17,5.0,5.0,5.0,5.0,f,1,0
3115,3115,2023-06-04,67%,f,3,t,17.90814,Entire home/apt,2.0,4.0,"$2,160.00",10,4,10,30,90,2024-12-30,0,,,,,,f,1,0
3116,3116,2023-06-22,,f,1,f,18.009241420127804,Entire home/apt,,1.0,,365,2,365,0,0,2024-12-30,1,2023-07-24,4.8,5.0,5.0,4.8,f,1,0
3117,3117,2014-03-02,,f,4,t,18.11334,Private room,,,,365,2,365,0,0,2024-12-30,0,2023-07-04,4.8,5.0,5.0,5.0,f,1,0
3118,3118,2015-10-26,,f,1,t,18.014689,Entire home/apt,,1.0,,365,1,365,0,0,2024-12-30,0,2023-07-03,4.94,5.0,4.94,4.89,f,1,0
3119,3119,2013-11-18,,f,2,t,17.875627806085376,Entire home/apt,2.0,3.0,"$1,920.00",30,6,30,5,5,2024-12-30,0,2023-07-20,5.0,5.0,5.0,5.0,f,1,0
3120,3120,2020-08-10,100%,f,30,t,18.079769990445687,Entire home/apt,2.5,2.0,"$25,000.00",365,7,365,29,89,2024-12-30,0,,,,,,f,3,0
3121,3121,2014-11-25,100%,t,6,t,17.963869161589137,Private room,,,,60,1,60,0,0,2024-12-30,7,2023-07-03,4.95,4.9,4.95,5.0,f,0,0
3122,3122,2017-05-09,63%,f,2,t,17.973935728244058,Entire home/apt,3.0,4.0,"$2,000.00",6,1,6,28,88,2024-12-30,3,2023-07-27,4.6,4.2,4.8,4.4,f,1,0
3123,3123,2017-08-28,,f,3,t,18.02867,Entire home/apt,,2.0,,1125,14,1125,0,0,2024-12-30,1,2023-08-01,5.0,5.0,5.0,5.0,f,1,0
3124,3124,2012-12-12,,f,1,t,18.00795,Entire home/apt,1.5,2.0,"$2,000.00",7,6,7,22,82,2024-12-30,0,,,,,,f,1,0
3125,3125,2023-06-20,100%,f,2,t,18.0919052,Entire home/apt,,2.0,,1125,4,1125,0,0,2024-12-30,6,2023-08-04,5.0,4.88,5.0,4.88,f,1,0
3126,3126,2014-06-02,,f,6,f,18.03488,Entire home/apt,1.0,1.0,"$1,100.00",14,3,14,4,61,2024-12-30,3,2023-07-03,5.0,4.6,5.0,4.8,f,1,0
3127,3127,2015-07-24,100%,f,1,t,18.03006,Entire home/apt,1.0,1.0,$600.00,65,7,65,29,32,2024-12-30,2,2024-08-01,5.0,4.0,5.0,4.5,f,1,0
3128,3128,2021-05-25,14%,f,1,t,17.88247,Entire home/apt,1.0,1.0,$900.00,20,3,20,28,88,2024-12-30,0,2023-08-16,4.25,4.25,4.5,4.75,f,1,0
3129,3129,2016-06-05,,f,1,t,18.09639,Entire home/apt,,2.0,,365,3,365,0,0,2024-12-30,3,2024-04-28,5.0,4.67,5.0,5.0,f,1,0
3130,3130,2012-10-28,,t,1,t,18.056382708324367,Entire home/apt,,1.0,,365,2,365,0,0,2024-12-30,3,2023-08-20,4.8,4.67,4.93,4.67,f,1,0
3131,3131,2019-05-31,100%,t,2,t,18.08373,Entire home/apt,1.0,1.0,"$2,500.00",365,1,365,28,87,2024-12-30,13,2023-11-20,4.93,5.0,4.93,4.57,t,1,0
3132,3132,2023-06-26,,f,1,t,17.90159,Entire home/apt,2.0,3.0,"$3,071.00",30,3,30,13,73,2024-12-30,1,2023-07-28,5.0,4.67,5.0,5.0,f,1,0
3133,3133,2014-02-08,60%,f,1,t,18.0685136,Entire home/apt,1.5,3.0,"$6,757.00",20,2,20,8,66,2024-12-30,8,2023-07-11,5.0,5.0,5.0,4.86,f,1,0
3134,3134,2012-02-05,0%,f,1,f,18.0839728564024,Entire home/apt,1.0,2.0,"$1,500.00",365,4,365,1,52,2024-12-30,4,2023-08-09,5.0,5.0,4.89,4.89,f,1,0
3135,3135,2023-06-20,100%,f,1,t,18.086584992706776,Entire home/apt,4.5,5.0,"$3,229.00",1125,2,1125,28,88,2024-12-30,2,2024-05-20,5.0,5.0,5.0,5.0,f,1,0
3136,3136,2014-08-06,,f,2,t,18.05542789263439,Entire home/apt,1.0,1.0,"$2,000.00",50,3,50,28,88,2024-12-30,1,2024-05-19,5.0,5.0,5.0,5.0,f,1,0
3137,3137,2013-09-25,100%,t,2,t,18.09553,Entire home/apt,,2.0,,20,3,20,0,2,2024-12-30,8,2023-07-12,5.0,4.87,4.8,4.73,f,1,0
3138,3138,2013-05-03,,f,3,t,18.08641,Entire home/apt,1.0,2.0,"$500,000.00",60,60,1125,10,70,2024-12-30,0,2023-08-31,5.0,5.0,5.0,5.0,f,1,0
3139,3139,2023-06-28,,f,2,t,18.07960434369716,Entire home/apt,,3.0,,25,3,1125,0,0,2024-12-30,5,2024-07-02,4.8,5.0,4.4,4.4,t,1,0
