,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
5071,5071,2024-12-30,2019-12-12,within an hour,100%,98%,t,12,27,t,t,59.3133549,18.0953356,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$986.00,7,150,4,7,7,97,t,17,47,77,97,2024-12-30,4,4,3,2024-11-26,2024-12-06,5.0,4.5,4.75,4.75,5.0,4.75,5.0,,f,12,12,0,0
5073,5073,2024-12-30,2018-07-31,within a few hours,83%,100%,f,1,1,t,t,59.3379,17.9653,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$2,186.00",1,365,1,1,365,365,t,26,56,83,358,2024-12-30,1,1,1,2024-12-08,2024-12-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,1,0,0
5074,5074,2024-12-30,2021-04-26,within an hour,100%,90%,f,7,18,t,t,59.32655694396747,18.07357908989566,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"$1,266.00",2,365,2,2,1125,1125,t,6,29,52,309,2024-12-30,6,6,6,2024-11-30,2024-12-25,4.67,4.33,4.67,4.5,4.83,5.0,4.83,,t,3,3,0,0
5075,5075,2024-12-30,2022-01-05,within an hour,90%,99%,f,3284,8065,t,t,59.33951,17.96469,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,780.00",1,1125,1,1,1,1125,t,29,59,89,364,2024-12-30,0,0,0,,,,,,,,,,,t,3,3,0,0
5076,5076,2024-12-30,2024-06-08,within a day,71%,33%,f,1,1,f,t,59.3109359,18.0644452,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,2,365,2,2,365,365,t,0,0,0,0,2024-12-30,1,1,1,2024-12-01,2024-12-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
5077,5077,2024-12-30,2017-06-26,within an hour,100%,100%,f,1,1,t,t,59.31798784330532,18.029453531940494,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$1,006.00",2,20,2,2,20,20,t,20,27,27,27,2024-12-30,3,3,2,2024-11-28,2024-12-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
5078,5078,2024-12-30,2019-06-29,within an hour,100%,100%,f,1,2,t,t,59.40096390000001,17.9379177,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$455.00,1,365,1,1,365,365,t,0,0,29,304,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5079,5079,2024-12-30,2022-06-19,within an hour,100%,97%,f,8,8,t,t,59.375477874555,17.870810532573685,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,$315.00,2,30,2,2,30,30,t,24,27,27,27,2024-12-30,0,0,0,,,,,,,,,,,t,6,3,3,0
5080,5080,2024-12-30,2023-02-13,within a few hours,100%,96%,t,25,39,t,t,59.30944,18.08448,Entire rental unit,Entire home/apt,5,1.0,1 bath,3.0,3.0,"$3,059.00",1,1125,1,1,1125,1125,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
5081,5081,2024-12-30,2021-06-17,within an hour,100%,100%,f,1,2,t,t,59.32158,18.07411,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,$957.00,2,30,1,2,1125,1125,t,9,19,29,55,2024-12-30,4,4,4,2024-12-01,2024-12-22,4.75,5.0,4.75,5.0,5.0,5.0,5.0,,f,1,1,0,0
