,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
1980,1980,2024-12-30,2014-06-08,,,,f,3,3,t,t,59.3131,18.08337,Entire condo,Entire home/apt,3,,1.5 baths,2.0,,,7,23,7,7,23,23,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,2,1,1,0
1981,1981,2024-12-30,2018-10-09,,,100%,f,1,1,t,t,59.26665,18.13323,Entire condo,Entire home/apt,4,,2 baths,2.0,,,4,365,4,4,365,365,t,0,0,0,0,2024-12-30,11,1,0,2022-06-05,2024-08-18,4.91,5.0,4.91,4.91,5.0,4.73,4.91,,f,1,1,0,0
1983,1983,2024-12-30,2015-12-26,within a few hours,89.0,89%,t,2,2,t,t,59.32904892435136,18.03745208457408,Entire rental unit,Entire home/apt,5,,1 bath,2.0,,,3,30,3,4,30,30,t,0,0,0,0,2024-12-30,7,7,0,2024-04-01,2024-11-01,5.0,5.0,5.0,5.0,5.0,5.0,4.86,,f,1,1,0,0
1984,1984,2024-12-30,2012-09-04,within an hour,100.0,50%,f,1,1,t,f,59.27737,17.96134,Entire townhouse,Entire home/apt,6,2.0,2 baths,3.0,3.0,"$2,000.00",5,29,5,5,29,29,t,1,7,10,32,2024-12-30,9,0,0,2021-12-27,2023-08-09,5.0,4.89,4.78,5.0,5.0,5.0,5.0,,f,1,1,0,0
1986,1986,2024-12-30,2012-07-10,within a few hours,100.0,92%,t,1,1,t,t,59.33954,18.05942,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1.0,0.0,"$1,010.00",3,30,3,3,30,30,t,9,9,9,9,2024-12-30,16,7,0,2022-08-09,2024-08-25,5.0,5.0,4.88,5.0,5.0,5.0,4.94,,f,1,1,0,0
1987,1987,2024-12-30,2021-08-18,,,,f,4,4,t,f,59.4084,17.95072,Room in aparthotel,Entire home/apt,2,,1 bath,,,,1,1125,1,1,1125,1125,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,t,4,4,0,0
1988,1988,2024-12-30,2021-08-18,,,,f,4,4,t,f,59.40888,17.95259,Room in aparthotel,Entire home/apt,3,,1 bath,1.0,,,1,1125,1,1,1125,1125,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,t,4,4,0,0
1991,1991,2024-12-30,2020-06-11,within an hour,100.0,100%,f,1,1,t,t,59.34666,17.89934,Entire home,Entire home/apt,4,2.0,2 baths,3.0,3.0,"$1,671.00",4,55,4,4,1125,1125,t,3,9,11,27,2024-12-30,23,3,0,2022-05-29,2024-08-02,4.87,4.83,4.74,4.87,5.0,4.83,4.87,,f,1,1,0,0
1993,1993,2024-12-30,2021-11-30,,,,f,1,1,t,t,59.2996,18.05884,Entire rental unit,Entire home/apt,3,,1.5 baths,1.0,,,5,365,5,5,365,365,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
1994,1994,2024-12-30,2013-07-07,within an hour,100.0,48%,f,1,1,t,t,59.29727,18.09777,Entire condo,Entire home/apt,2,1.5,1.5 baths,1.0,1.0,"$1,257.00",2,365,2,2,365,365,t,19,49,59,166,2024-12-30,25,8,0,2021-12-29,2024-09-14,4.92,4.96,4.96,4.96,5.0,4.6,4.84,,f,1,1,0,0
1995,1995,2024-12-30,2011-02-04,within a day,50.0,78%,f,3,5,t,t,59.23563,18.09016,Entire home,Entire home/apt,4,2.0,2 baths,3.0,5.0,"$1,400.00",4,365,4,4,365,365,t,4,34,35,63,2024-12-30,8,6,0,2022-03-06,2024-10-22,4.88,4.88,4.5,5.0,5.0,5.0,4.75,,f,2,1,1,0
1996,1996,2024-12-30,2021-12-04,within an hour,100.0,99%,f,1,7,t,t,59.33023,18.04163,Private room in hostel,Private room,2,,9 shared baths,1.0,,,1,365,1,1,14,14,t,29,59,84,341,2024-12-30,98,21,0,2022-01-07,2024-10-19,4.03,4.24,3.89,4.74,4.54,4.72,4.12,,t,1,0,1,0
2002,2002,2024-12-30,2019-04-07,,,,f,2,2,t,t,59.33811,18.10101,Entire condo,Entire home/apt,5,,2.5 baths,2.0,,,5,1125,5,5,1125,1125,t,0,0,0,0,2024-12-30,9,0,0,2022-07-05,2023-10-17,5.0,4.89,5.0,4.78,5.0,4.89,4.78,,f,2,2,0,0
2003,2003,2024-12-30,2017-01-30,,,,f,1,3,t,t,59.31587,18.06259,Entire condo,Entire home/apt,2,,1 bath,1.0,,,4,365,4,4,365,365,t,0,0,0,0,2024-12-30,2,0,0,2022-08-15,2022-08-20,4.5,4.5,5.0,5.0,5.0,5.0,4.0,,f,1,1,0,0
2006,2006,2024-12-30,2013-07-04,,,,f,1,3,t,t,59.316353,18.009892,Entire rental unit,Entire home/apt,3,,1 bath,2.0,,,3,8,3,3,1125,1125,t,0,0,0,0,2024-12-30,14,0,0,2021-12-27,2023-05-29,4.5,4.43,4.14,4.64,4.79,4.36,4.21,,t,1,1,0,0
2008,2008,2024-12-30,2021-12-04,,,86%,,4,17,t,t,59.41613,17.9146,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,1.0,6.0,$607.00,1,365,1,1,365,365,t,30,60,90,365,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
2010,2010,2024-12-30,2018-09-27,,,,f,1,1,t,t,59.28943,17.93563,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,2,365,2,2,365,365,t,0,0,0,0,2024-12-30,1,0,0,2022-01-08,2022-01-08,5.0,4.0,5.0,4.0,4.0,5.0,5.0,,f,1,1,0,0
2011,2011,2024-12-30,2020-07-04,,,,f,1,1,t,f,59.28752,18.07091,Entire villa,Entire home/apt,6,,2.5 baths,4.0,,,1,365,1,1,1125,1125,t,0,0,0,0,2024-12-30,5,0,0,2022-07-03,2023-04-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2012,2012,2024-12-30,2015-07-31,within an hour,100.0,46%,f,1,5,t,t,59.33729,18.03869,Entire condo,Entire home/apt,2,1.5,1.5 baths,1.0,1.0,"$2,600.00",1,10,1,1,10,10,t,25,55,85,85,2024-12-30,28,5,0,2021-12-30,2024-10-18,4.89,4.86,4.75,4.96,4.96,4.96,4.82,,f,1,1,0,0
2013,2013,2024-12-30,2020-02-19,,,100%,f,1,1,t,t,59.3077408875001,18.067709270487185,Entire condo,Entire home/apt,3,,1 bath,1.0,,,1,7,3,3,1125,1125,t,0,0,0,0,2024-12-30,14,6,0,2023-08-10,2024-10-07,4.57,4.64,4.57,4.71,4.79,4.5,4.64,,t,1,1,0,0
2017,2017,2024-12-30,2019-07-30,a few days or more,0.0,0%,f,4,7,t,t,59.315224,18.077539,Room in hotel,Private room,16,12.0,12 baths,12.0,22.0,"$22,995.00",1,365,1,1,365,365,t,30,60,90,365,2024-12-30,1,0,0,2022-12-30,2022-12-30,5.0,4.0,4.0,4.0,5.0,4.0,4.0,,f,4,3,1,0
