,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
3476,3476,2024-12-30,2015-12-10,within an hour,97.0,89%,f,24,49,t,t,59.34894,18.03648,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,1.0,1323.0,1,365,2,5,365,365,t,0,0,0,0,2024-12-30,11,7,2,2023-12-08,2024-12-26,4.8,5.0,5.0,5.0,5.0,4.9,4.9,,f,20,20,0,0
3477,3477,2024-12-30,2020-09-06,within an hour,100.0,80%,f,1,1,t,t,59.33577861776805,18.036841431024627,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,3,30,3,4,30,30,t,1,1,1,1,2024-12-30,8,8,0,2024-01-03,2024-10-20,5.0,5.0,5.0,5.0,5.0,5.0,4.88,,f,1,1,0,0
3479,3479,2024-12-30,2013-11-08,within a few hours,100.0,90%,f,1,2,t,t,59.30835161634453,17.99037137988747,Private room in rental unit,Private room,3,1.0,1 private bath,2.0,2.0,1921.0,5,300,5,5,300,300,t,23,53,83,85,2024-12-30,0,0,0,,,,,,,,,,,f,1,0,1,0
3483,3483,2024-12-30,2016-02-04,within a few hours,100.0,100%,f,2,2,t,f,59.30855279999999,18.0020211,Entire home,Entire home/apt,6,2.0,2 baths,4.0,5.0,2750.0,4,30,4,4,30,30,t,17,36,58,190,2024-12-30,3,3,0,2024-07-13,2024-07-31,5.0,5.0,5.0,5.0,5.0,5.0,4.67,,f,1,1,0,0
3492,3492,2024-12-30,2017-09-08,within an hour,100.0,100%,f,1,1,t,t,59.316658338874575,18.075145597590573,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,1046.0,6,365,6,6,365,365,t,16,16,16,16,2024-12-30,0,0,0,,,,,,,,,,,t,1,1,0,0
3493,3493,2024-12-30,2022-12-29,within a day,100.0,19%,f,1,1,t,t,59.29825557711978,18.075248916394045,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,600.0,1,365,1,1,365,365,t,29,59,88,268,2024-12-30,3,3,0,2024-02-12,2024-09-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,0,1,0
3497,3497,2024-12-30,2012-09-17,within an hour,100.0,79%,f,2,2,t,t,59.28028,18.00364,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,550.0,1,365,1,1,365,365,t,0,19,49,229,2024-12-30,4,3,0,2023-12-03,2024-05-25,5.0,4.75,5.0,5.0,5.0,4.75,5.0,,f,2,1,1,0
3498,3498,2024-12-30,2015-12-10,within an hour,97.0,89%,f,24,49,t,t,59.31812298439008,17.98848299711145,Entire rental unit,Entire home/apt,8,1.5,1.5 baths,3.0,3.0,1419.0,1,365,2,4,365,365,t,28,49,79,186,2024-12-30,51,47,1,2023-11-06,2024-12-02,4.76,4.73,4.59,4.9,4.69,4.71,4.82,,f,20,20,0,0
3500,3500,2024-12-30,2020-12-09,within an hour,100.0,100%,f,10,11,t,t,59.31509510000001,18.0630044,Private room in rental unit,Private room,2,0.0,0 shared baths,0.0,1.0,1456.0,1,14,1,1,14,14,t,18,45,64,315,2024-12-30,0,0,0,,,,,,,,,,,t,10,4,6,0
3501,3501,2024-12-30,2013-07-03,within a few hours,100.0,83%,f,1,1,t,t,59.318024691345926,18.062912715899643,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,,4,365,4,4,365,365,t,0,0,0,0,2024-12-30,3,2,1,2023-11-20,2024-12-24,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,f,1,1,0,0
