,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
2947,2947,2024-12-30,2023-05-19,,,,f,1,1,f,t,59.36032867041872,17.905561808168233,Entire rental unit,Entire home/apt,8,,2 baths,3.0,,,5,7,5,5,1125,1125,,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
2948,2948,2024-12-30,2019-09-12,,,,f,1,1,t,f,59.27117,18.08513,Entire home,Entire home/apt,7,,2 baths,4.0,,,3,18,3,3,18,18,t,0,0,0,0,2024-12-30,4,0,0,2023-07-10,2023-07-24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2952,2952,2024-12-30,2016-03-31,within a few hours,100.0,86%,t,2,2,t,t,59.31969786390828,18.07238215410865,Entire rental unit,Entire home/apt,7,2.0,2 baths,4.0,6.0,5271.0,3,90,3,3,90,90,t,13,26,31,166,2024-12-30,21,11,0,2023-07-16,2024-09-29,4.95,4.95,5.0,4.95,5.0,5.0,4.86,,f,1,1,0,0
2953,2953,2024-12-30,2015-12-13,within an hour,100.0,100%,f,2,3,t,t,59.25842386059514,18.126831916853163,Entire home,Entire home/apt,7,2.0,2 baths,4.0,4.0,1800.0,5,21,5,5,1125,1125,t,0,0,0,19,2024-12-30,0,0,0,,,,,,,,,,,t,1,1,0,0
2955,2955,2024-12-30,2019-03-24,within an hour,100.0,82%,f,1,1,t,t,59.27859220000001,18.0617636,Entire home,Entire home/apt,7,,2.5 baths,4.0,,,2,30,2,2,30,30,t,1,1,1,1,2024-12-30,10,6,0,2023-10-01,2024-09-08,4.6,4.7,4.5,5.0,5.0,5.0,4.5,,f,1,1,0,0
2957,2957,2024-12-30,2017-07-10,within an hour,100.0,92%,f,2,3,t,t,59.2835408,18.1089392,Entire home,Entire home/apt,6,1.5,1.5 baths,3.0,4.0,2250.0,3,30,3,4,30,30,t,0,0,0,42,2024-12-30,5,2,0,2023-07-19,2024-07-27,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2964,2964,2024-12-30,2015-04-27,,,100%,f,1,3,t,t,59.2776435716852,18.05179350439834,Entire home,Entire home/apt,6,,3 baths,6.0,,,4,28,4,4,28,28,t,0,0,0,0,2024-12-30,7,4,0,2023-07-15,2024-08-06,5.0,5.0,5.0,5.0,5.0,5.0,4.86,,f,1,1,0,0
2969,2969,2024-12-30,2019-06-24,within a few hours,100.0,83%,f,1,1,f,t,59.29899,17.97452,Entire home,Entire home/apt,5,2.5,2.5 baths,4.0,3.0,2500.0,5,600,5,5,600,600,t,1,1,1,26,2024-12-30,6,3,0,2023-08-04,2024-08-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2972,2972,2024-12-30,2013-05-08,within a day,100.0,0%,f,1,3,t,t,59.27708,18.07113,Entire home,Entire home/apt,7,1.5,1.5 baths,3.0,4.0,1494.0,5,365,5,5,365,365,t,7,7,7,97,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
2978,2978,2024-12-30,2023-05-16,a few days or more,14.0,34%,f,1,1,t,t,59.339179385761085,18.087255880236626,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,3.0,2800.0,2,365,2,2,365,365,t,0,0,0,42,2024-12-30,13,7,0,2023-06-19,2024-08-16,4.77,4.77,4.77,4.54,4.77,4.92,4.62,,f,1,1,0,0
